,Unnamed: 0,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",affiliation,lab_size,Highest_degree,Degree_area,Publication Rate,Other Journals Published In,duration of Career(Years),DOI,Title,Creator/Author,Journal Name,Sponsoring Org.,NAME,ADDRESS,STATE,COUNTRY,COUNTY,SOURCE,WEBSITE,UNI_RANKS,UNI_NAMES,UNI_AREAS
0,0.0,"Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer",Rounak Nassirpour,"PLOS One, January 2013 | Volume 8 | Issue 1 | e53510",10.1371/journal.pone.0053510,2013.0,1-Jan,1.0,,1.0,,"duplicated blot, shifted microscopy",1,10/09/2015,,1.0,,1.0,"Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany",3.0,,,1.0,3.0,3.0,https://doi.org/10.1186/s41235-022-00388-4,Effects of experience on recognition of speech produced with a face mask,"Crinnion, Anne Marie; Toscano, Joseph C.; Toscano, Cheyenne M.",Cognitive Research: Principles and Implications,National Science Foundation,BRYANT & STRATTON COLLEGE-AMHERST,3650 MILLERSPORT HIGHWAY,NY,USA,ERIE,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=189556,https://www.bryantstratton.edu,1,Massachusetts Institute of Technology (MIT),North America
1,1.0,"Jessica M. Esparza, Eileen OÅToole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher",Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,"PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940",10.1371/journal.pone.0053940,2013.0,1-Jan,,1.0,,,duplicated colony strip,1,01/15/2016,,1.0,,1.0,"Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America",7.0,,,0.454545455,5.0,11.0,https://doi.org/10.1007/s40656-022-00497-9,Re-situations of scientific knowledge: a case study of a skirmish over clusters vs clines in human population genomics,"Griesemer, James; Barragán, Carlos Andrés",History and Philosophy of the Life Sciences,National Science Foundation,CUNY SCHOOL OF LAW,2 COURT SQUARE,NY,USA,QUEENS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=190682,www.law.cuny.edu,2,Stanford University,North America
2,2.0,"Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London",Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0057285,2013.0,2-Feb,,,1.0,,reuse of one lane in different blot experiment,1,8/4/2015,,1.0,,1.0,"Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America",6.0,,,2.0,16.0,8.0,https://doi.org/10.5281/zenodo.6540831,Ixodes Scapularis monitoring data compiled from 6 studies,"Christie, Rowan; Stack, Kaitlin Whitney; Perrone, Julia; Bahlai, Christie",,National Science Foundation,ROCKLAND COMMUNITY COLLEGE,145 COLLEGE RD,NY,USA,ROCKLAND,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=195058,www.sunyrockland.edu/,3,Harvard University,North America
3,3.0,"Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin ",miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pone.0062170,2013.0,04April,1.0,,,1,Duplicated / mirrored bands in blot,1,4/10/2017,1.0,,,1.0,"Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America",4.0,,,0.789473684,15.0,19.0,https://doi.org/10.3389/fmolb.2021.618068,Role of Electrostatic Hotspots in the Selectivity of Complement Control Proteins Toward Human and Bovine Complement Inhibition,"Narkhede, Yogesh B.; Gautam, Avneesh K.; Hsu, Rohaine V.; Rodriguez, Wilson; Zewde, Nehemiah T.; Harrison, Reed E.; Arantes, Pablo R.; Gaieb, Zied; Gorham, Ronald D.; Kieslich, Chris; Morikis, Dimitrios; Sahu, Arvind; Palermo, Giulia",Frontiers in Molecular Biosciences,National Science Foundation,SOUTHERN WESTCHESTER BOCES-PRACTICAL NURSING PROGRAM,450 MAMARONECK AVENUE,NY,USA,WESTCHESTER,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=193122,www.swboces.org,4,California Institute of Technology (Caltech),North America
4,4.0,"Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong",HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904",10.1371/journal.pone.0064904,2013.0,5-May,,1.0,,,multiple duplicated microscopy images,1,9/19/2014,,1.0,,1.0,"Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America",7.0,,,2.857142857,40.0,14.0,https://doi.org/1006549,"G Hartung, C Vesel, R Morley**, A Alaraj, J Sled, D Kleinfeld, A Linninger, Simulations of blood as a suspension predicts a depth dependent hematocrit in the circulation throughout the cerebral cortex, PLoS Computational Biology, 14(11), e1006549, 2018. (**REU participant)","Grant Hartung, Claudia Vesel",PLOS computational biology,National Science Foundation,OHIO VALLEY COLLEGE OF TECHNOLOGY,15258 STATE ROUTE 170,OH,USA,COLUMBIANA,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=204884,ovct.edu,5,University of Oxford,Europe
5,5.0,"Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang",Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1371/journal.pone.0063581,2013.0,5-May,,,1.0,,part of blot panel reused to represent different protein,1,,,1.0,,1.0,"Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China",9.0,,,-1.0,-1.0,-1.0,https://doi.org/10.1007/s13278-019-0611-9,"Behavioral differences: insights, explanations and comparisons of French and US Twitter usage during elections","Ian Davidson, Antoine Gourru",Social network analysis and mining,National Science Foundation,CENTRAL OKLAHOMA COLLEGE,14820 SERENITA AVENUE,OK,USA,OKLAHOMA,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=206932,centraloc.edu,6,University of Cambridge,Europe
6,6.0,"Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona",LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508",10.1371/journal.pone.0070508,2013.0,7-Jul,1.0,,,1,"duplicated lanes within same blot, or in different blots, duplicated microscopy panel",1,10/16/2014,,1.0,,1.0,"Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia",3.0,,,1.4,14.0,10.0,https://doi.org/10.1073/pnas.1808312116,Topological descriptions of protein folding,"Flapan, Erica; He, Adam (ORCID:0000000320846970); Wong, Helen",Proceedings of the National Academy of Sciences,National Science Foundation,NEW MEXICO STATE UNIVERSITY-DONA ANA,2800 N. SONOMA RANCH BLVD.,NM,USA,DOÑA ANA,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=187620,dacc.nmsu.edu/,7,ETH Zurich - Swiss Federal Institute of Technology,Europe
7,7.0,"Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296",10.1371/journal.pone.0068296,2013.0,7-Jul,,,1.0,,"overlapping microscopy images,but rotated/stretched",1,5/8/2015,,1.0,,1.0,"Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy",7.0,PhD,,10.0,60.0,6.0,https://doi.org/10.1371/journal.pbio.3001417,The microbiome impacts host hybridization and speciation,"Miller, A; Westlake, C; Cross, K; Leigh, B; Bordenstein, S",PLoS biology,National Science Foundation,SANTA FE COMMUNITY COLLEGE,6401 RICHARDS AVE,NM,USA,SANTA FE,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=188137,https://www.sfcc.edu,8,Imperial College London,Europe
8,8.0,"Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang",Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1371/journal.pone.0069485,2013.0,7-Jul,,,,1,"multiple overlapping microscopy images, groups of cells visible in multiple images",1,11/25/2014,,1.0,,1.0,"Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China",10.0,,,28.0,224.0,8.0,https://doi.org/10.1371/journal.pone.0268059,"Measuring dissolved black carbon in water via aqueous, inorganic, high-performance liquid chromatography of benzenepolycarboxylic acid (BPCA) molecular markers","Barton, Riley; Wagner, Sasha",PLOS ONE,National Science Foundation,PANACHE ACADEMY OF BEAUTY,1120 ZAP DRIVE,WI,USA,SAUK,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=475413,panacheacademyofbeauty.com,9,University of Chicago,North America
9,9.0,"Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon ","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1371/journal.pone.0069583,2013.0,7-Jul,,,,1,"possible duplicated lanes within same blot, patch in other blot",1,7/20/2015,,1.0,,1.0,"Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel",5.0,Doctor of Philosophy,Philosophy,1.666666667,20.0,12.0,https://doi.org/null,Artifact propagation in electrocorticography stimulation,"Lim, J.; Wang, P.T.; Shaw, S.J.; Armacost, M.; Gong, H.; Liu, C.Y.; Heydari, P.; Do, A.H.; Nenadic, Z.","Seventh International BCI Meeting, Abstract Book",National Science Foundation,TEXAS A & M UNIVERSITY-SYSTEM OFFICE,301 TARROW,TX,USA,BRAZOS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=228732,tamus.edu,10,UCL (University College London),Europe
