x-coordinate,y-coordinate,Similarity_score
combine_test/Bik dataset - papers with endpoint reached.tsv,combine_test/NSF-metadata.xlsx,0.09090909090909091
combine_test/Bik dataset - papers with endpoint reached.tsv,combine_test/updated_bik_with_features.csv,0.23076923076923078
combine_test/Bik dataset - papers with endpoint reached.tsv,combine_test/Colleges_and_Universities.csv,0.23076923076923078
combine_test/Bik dataset - papers with endpoint reached.tsv,combine_test/QSrank.txt,0.25
combine_test/NSF-metadata.xlsx,combine_test/updated_bik_with_features.csv,0.09090909090909091
combine_test/NSF-metadata.xlsx,combine_test/Colleges_and_Universities.csv,0.09090909090909091
combine_test/NSF-metadata.xlsx,combine_test/QSrank.txt,0.09523809523809523
combine_test/updated_bik_with_features.csv,combine_test/Colleges_and_Universities.csv,0.6
combine_test/updated_bik_with_features.csv,combine_test/QSrank.txt,0.36363636363636365
combine_test/Colleges_and_Universities.csv,combine_test/QSrank.txt,0.36363636363636365
